sku,post_status,post_title,attributes,pa_color,pa_size,pa_brand,post_content,post_excerpt,category,tags,manage_stock,stock_status,backorders,stock,price,regular_price,sale_price,weight,length,width,height,images,tax_status,tax_class,visibility,featured,
917860-323,publish,TREMstop 1A+,cartridge,Rust Red,10-oz,Tremco,"[vc_row][vc_column width=""1/2""][vc_video link=""https://www.youtube.com/watch?v=KCMXjc_Q_oE""][/vc_column][vc_column width=""1/2""][vc_column_text]
<h1>TREMstop 1A+</h1>
TREMstop 1A+ is a high-performance, single-component, water-based firestop sealant that will expand to fill the voids left when combustible materials burn and deteriorate in a fire. This versatile firestopping product has exceptional sealant qualities, including superb unprimed adhesion, easy gunning and anti-fungal properties. It can also be painted once fully cured.
[/vc_column_text][/vc_column][/vc_row]"," single component, water-based, intumescent acrylic firestop sealant",Firestop | Tremco | TREMstop 1A+ Intumescent Sealant 10oz,TremStop 1A+ | caulking|firestop| firestop sealant | sealant |Tremco | Tremco Firestop | intumescent firestop sealant,NO,instock,no,,14.39,16.99,14.39,16,5,5,32,http://i.imgur.com/hWTeylO.jpg,taxable,standard,visible,yes,
426724-323,publish,Vulkem 116,cartridge,Almond,10-oz,Tremco,"[vc_row][vc_column width=""1/2""][vc_video link=""https://www.youtube.com/watch?v=KCMXjc_Q_oE""][/vc_column][vc_column width=""1/2""][vc_column_text]
Tremco Vulkem 116 is a one-part, moisture-curing, gun-grade polyurethane sealant with superior primerless adhesion to porous substrates. Tremco Vulkem 116 is an excellent general-purpose sealant designed for use on poured and precast concrete, masonry work, window and door perimeters, and similar types of construction joints. Tremco Vulkem 116 is designed for use on exterior applications but can also be used on interior applications with proper ventilation.
[/vc_column_text][/vc_column][/vc_row]","one-part, moisture-curing, gun-grade polyurethane sealant",Sealants | Polyurethane Sealants | Tremco | Tremco Vulkem 116 10oz,116 | caulking| masonry| polyurethane sealant | sealant |Tremco | Vulkem 116 | waterproofing | caulk | adhesives,NO,instock,no,,5.29,9.75,5.29,16,5,5,32,http://i.imgur.com/ugbwxGc.jpg,taxable,standard,visible,yes,https://www.youtube.com/watch?v=KCMXjc_Q_oE
426720-323,publish,Vulkem 116,cartridge,Aluminum,10-oz,Tremco,"[vc_row][vc_column width=""1/2""][vc_video link=""https://www.youtube.com/watch?v=KCMXjc_Q_oE""][/vc_column][vc_column width=""1/2""][vc_column_text]
Tremco Vulkem 116 is a one-part, moisture-curing, gun-grade polyurethane sealant with superior primerless adhesion to porous substrates. Tremco Vulkem 116 is an excellent general-purpose sealant designed for use on poured and precast concrete, masonry work, window and door perimeters, and similar types of construction joints. Tremco Vulkem 116 is designed for use on exterior applications but can also be used on interior applications with proper ventilation.
[/vc_column_text][/vc_column][/vc_row]","one-part, moisture-curing, gun-grade polyurethane sealant",Sealants | Polyurethane Sealants | Tremco | Tremco Vulkem 116 10oz,116 | caulking| masonry| polyurethane sealant | sealant |Tremco | Vulkem 116 | waterproofing | caulk,NO,instock,no,,5.29,9.75,5.29,16,5,5,32,http://i.imgur.com/ugbwxGc.jpg,taxable,standard,visible,yes,https://www.youtube.com/watch?v=KCMXjc_Q_oE
426802-323,publish,Vulkem 116,cartridge,Black,10-oz,Tremco,"[vc_row][vc_column width=""1/2""][vc_video link=""https://www.youtube.com/watch?v=KCMXjc_Q_oE""][/vc_column][vc_column width=""1/2""][vc_column_text]
Tremco Vulkem 116 is a one-part, moisture-curing, gun-grade polyurethane sealant with superior primerless adhesion to porous substrates. Tremco Vulkem 116 is an excellent general-purpose sealant designed for use on poured and precast concrete, masonry work, window and door perimeters, and similar types of construction joints. Tremco Vulkem 116 is designed for use on exterior applications but can also be used on interior applications with proper ventilation.
[/vc_column_text][/vc_column][/vc_row]","one-part, moisture-curing, gun-grade polyurethane sealant",Sealants | Polyurethane Sealants | Tremco | Tremco Vulkem 116 10oz,116 | caulking| masonry| polyurethane sealant | sealant |Tremco | Vulkem 116 | waterproofing | caulk,NO,instock,no,,5.29,9.75,5.29,16,5,5,32,http://i.imgur.com/ugbwxGc.jpg,taxable,standard,visible,yes,https://www.youtube.com/watch?v=KCMXjc_Q_oE
426719-323,publish,Vulkem 116,cartridge,Bronze,10-oz,Tremco,"[vc_row][vc_column width=""1/2""][vc_video link=""https://www.youtube.com/watch?v=KCMXjc_Q_oE""][/vc_column][vc_column width=""1/2""][vc_column_text]
Tremco Vulkem 116 is a one-part, moisture-curing, gun-grade polyurethane sealant with superior primerless adhesion to porous substrates. Tremco Vulkem 116 is an excellent general-purpose sealant designed for use on poured and precast concrete, masonry work, window and door perimeters, and similar types of construction joints. Tremco Vulkem 116 is designed for use on exterior applications but can also be used on interior applications with proper ventilation.
[/vc_column_text][/vc_column][/vc_row]","one-part, moisture-curing, gun-grade polyurethane sealant",Sealants | Polyurethane Sealants | Tremco | Tremco Vulkem 116 10oz,116 | caulking| masonry| polyurethane sealant | sealant |Tremco | Vulkem 116 | waterproofing | caulk,NO,instock,no,,5.29,9.75,5.29,16,5,5,32,http://i.imgur.com/ugbwxGc.jpg,taxable,standard,visible,yes,https://www.youtube.com/watch?v=KCMXjc_Q_oE
426707-323,publish,Vulkem 116,cartridge,Buff,10-oz,Tremco,"[vc_row][vc_column width=""1/2""][vc_video link=""https://www.youtube.com/watch?v=KCMXjc_Q_oE""][/vc_column][vc_column width=""1/2""][vc_column_text]
Tremco Vulkem 116 is a one-part, moisture-curing, gun-grade polyurethane sealant with superior primerless adhesion to porous substrates. Tremco Vulkem 116 is an excellent general-purpose sealant designed for use on poured and precast concrete, masonry work, window and door perimeters, and similar types of construction joints. Tremco Vulkem 116 is designed for use on exterior applications but can also be used on interior applications with proper ventilation.
[/vc_column_text][/vc_column][/vc_row]","one-part, moisture-curing, gun-grade polyurethane sealant",Sealants | Polyurethane Sealants | Tremco | Tremco Vulkem 116 10oz,116 | caulking| masonry| polyurethane sealant | sealant |Tremco | Vulkem 116 | waterproofing | caulk,NO,instock,no,,5.29,9.75,5.29,16,5,5,32,http://i.imgur.com/ugbwxGc.jpg,taxable,standard,visible,yes,https://www.youtube.com/watch?v=KCMXjc_Q_oE
426721-323,publish,Vulkem 116,cartridge,Dark Bronze,10-oz,Tremco,"[vc_row][vc_column width=""1/2""][vc_video link=""https://www.youtube.com/watch?v=KCMXjc_Q_oE""][/vc_column][vc_column width=""1/2""][vc_column_text]
Tremco Vulkem 116 is a one-part, moisture-curing, gun-grade polyurethane sealant with superior primerless adhesion to porous substrates. Tremco Vulkem 116 is an excellent general-purpose sealant designed for use on poured and precast concrete, masonry work, window and door perimeters, and similar types of construction joints. Tremco Vulkem 116 is designed for use on exterior applications but can also be used on interior applications with proper ventilation.
[/vc_column_text][/vc_column][/vc_row]","one-part, moisture-curing, gun-grade polyurethane sealant",Sealants | Polyurethane Sealants | Tremco | Tremco Vulkem 116 10oz,116 | caulking| masonry| polyurethane sealant | sealant |Tremco | Vulkem 116 | waterproofing | caulk,NO,instock,no,,5.29,9.75,5.29,16,5,5,32,http://i.imgur.com/ugbwxGc.jpg,taxable,standard,visible,yes,https://www.youtube.com/watch?v=KCMXjc_Q_oE
426712-323,publish,Vulkem 116,cartridge,Gray,10-oz,Tremco,"[vc_row][vc_column width=""1/2""][vc_video link=""https://www.youtube.com/watch?v=KCMXjc_Q_oE""][/vc_column][vc_column width=""1/2""][vc_column_text]
Tremco Vulkem 116 is a one-part, moisture-curing, gun-grade polyurethane sealant with superior primerless adhesion to porous substrates. Tremco Vulkem 116 is an excellent general-purpose sealant designed for use on poured and precast concrete, masonry work, window and door perimeters, and similar types of construction joints. Tremco Vulkem 116 is designed for use on exterior applications but can also be used on interior applications with proper ventilation.
[/vc_column_text][/vc_column][/vc_row]","one-part, moisture-curing, gun-grade polyurethane sealant",Sealants | Polyurethane Sealants | Tremco | Tremco Vulkem 116 10oz,116 | caulking| masonry| polyurethane sealant | sealant |Tremco | Vulkem 116 | waterproofing | caulk,NO,instock,no,,5.29,9.75,5.29,16,5,5,32,http://i.imgur.com/ugbwxGc.jpg,taxable,standard,visible,yes,https://www.youtube.com/watch?v=KCMXjc_Q_oE
426758-323,publish,Vulkem 116,cartridge,Ivory,10-oz,Tremco,"[vc_row][vc_column width=""1/2""][vc_video link=""https://www.youtube.com/watch?v=KCMXjc_Q_oE""][/vc_column][vc_column width=""1/2""][vc_column_text]
Tremco Vulkem 116 is a one-part, moisture-curing, gun-grade polyurethane sealant with superior primerless adhesion to porous substrates. Tremco Vulkem 116 is an excellent general-purpose sealant designed for use on poured and precast concrete, masonry work, window and door perimeters, and similar types of construction joints. Tremco Vulkem 116 is designed for use on exterior applications but can also be used on interior applications with proper ventilation.
[/vc_column_text][/vc_column][/vc_row]","one-part, moisture-curing, gun-grade polyurethane sealant",Sealants | Polyurethane Sealants | Tremco | Tremco Vulkem 116 10oz,116 | caulking| masonry| polyurethane sealant | sealant |Tremco | Vulkem 116 | waterproofing | caulk,NO,instock,no,,5.29,9.75,5.29,16,5,5,32,http://i.imgur.com/ugbwxGc.jpg,taxable,standard,visible,yes,https://www.youtube.com/watch?v=KCMXjc_Q_oE
426805-323,publish,Vulkem 116,cartridge,Limestone,10-oz,Tremco,"[vc_row][vc_column width=""1/2""][vc_video link=""https://www.youtube.com/watch?v=KCMXjc_Q_oE""][/vc_column][vc_column width=""1/2""][vc_column_text]
Tremco Vulkem 116 is a one-part, moisture-curing, gun-grade polyurethane sealant with superior primerless adhesion to porous substrates. Tremco Vulkem 116 is an excellent general-purpose sealant designed for use on poured and precast concrete, masonry work, window and door perimeters, and similar types of construction joints. Tremco Vulkem 116 is designed for use on exterior applications but can also be used on interior applications with proper ventilation.
[/vc_column_text][/vc_column][/vc_row]","one-part, moisture-curing, gun-grade polyurethane sealant",Sealants | Polyurethane Sealants | Tremco | Tremco Vulkem 116 10oz,116 | caulking| masonry| polyurethane sealant | sealant |Tremco | Vulkem 116 | waterproofing | caulk,NO,instock,no,,5.29,9.75,5.29,16,5,5,32,http://i.imgur.com/ugbwxGc.jpg,taxable,standard,visible,yes,https://www.youtube.com/watch?v=KCMXjc_Q_oE
